tmdb_id,title,year,x,y,top_terms
569094,Spider-Man: Across the Spider-Verse,2023,0.43140256445415337,0.48207057451993723,spider; superhero; alternate; heroes; team spider; multiverse
872585,Oppenheimer,2023,0.1467991609954462,-0.10330756839937377,atomic; oppenheimer; atomic bomb; bomb; project; war ii
424,Schindler's List,1993,0.131830657042013,-0.08239519291606999,poland; camp; factory; concentration camp; concentration; schindler
862,Toy Story,1995,0.13074531497554004,-0.07143545454624502,toy; buzz; woody; andy; animation; title toy
1184918,The Wild Robot,2024,0.16697149571393635,-0.10768973531162261,robot; island; roz; goose; animals; roz stranded
240,The Godfather Part II,1974,0.24786888870115598,-0.036594909694590824,corleone; cuba; godfather; new year; mafia; 1950s
218,The Terminator,1984,0.18784202144315354,-0.03911777698337822,terminator; cyborg; sarah; machine; future; just
1241982,Moana 2,2024,0.14017530636026015,-0.09744036262229547,moana; explorer; maui; crew; moana overview; recruit
438631,Dune,2021,0.1809309227073324,-0.08242815500967561,dune; sand; destiny; oscar; creature; giant
672,Harry Potter and the Chamber of Secrets,2002,0.2022171165931256,-0.09901817203004631,harry; chamber secrets; chamber; potter; secrets; harry potter
796,Cruel Intentions,1999,0.15152014514207002,-0.12450981348812717,kathryn; dangerous; great; love; thirst dangerous; sadistic
939243,Sonic the Hedgehog 3,2024,0.20117981507666804,-0.06701661746093297,shadow; sonic; hedgehog; animal; unlikely alliance; overview sonic
537915,After,2019,0.18463259889158784,-0.08159969904964691,meets; tessa; teenage; romance; mysterious; riverdale
150540,Inside Out,2015,0.17710625843875227,-0.10567320458093181,sadness; joy; anger; disgust; emotions; fear
877817,Wolfs,2024,0.1657056228086903,-0.10943518958501972,fixer; wolfs; comedy; crime; unexpected; work unexpected
414906,The Batman,2022,0.227445659703119,0.0955958176712878,batman; crime; serial killer; serial; killer; corruption
12444,Harry Potter and the Deathly Hallows: Part 1,2010,0.17836429351381988,-0.15673369741646093,harry; voldemort; road; potter; harry potter; really
875828,Peaky Blinders: The Immortal Man,2026,0.15462249593780333,-0.09280802195977803,birmingham; gangster; england; crime; peaky blinders; nazis counterfeited
